"","Day","Number","Full Name","Pos.","Ht.","Wt.","Class","Hometown","High School","Previous School","Twitter","Instagram","NIL"
"73",72,72,"=HYPERLINK(""https://broncosports.com/sports/football/roster/daniil-starykh/14400"",""Daniil Starykh"")","OL","6' 3''","296","Fr.","Berlin, Germany","Berlin Adler","","=HYPERLINK(""https://twitter.com/Daniil_Starykh"",""@Daniil_Starykh"")","=HYPERLINK(""https://instagram.com/daniil.030"",""@daniil.030"")",""
"74",73,73,"=HYPERLINK(""https://broncosports.com/sports/football/roster/parker-perkins/14245"",""Parker Perkins"")","OL","6' 2''","300","R-So.","Middleton, Idaho","Middleton HS","","=HYPERLINK(""https://twitter.com/parkerperkins73"",""@parkerperkins73"")","=HYPERLINK(""https://instagram.com/parkerperkins06"",""@parkerperkins06"")",""
"75",74,74,"=HYPERLINK(""https://broncosports.com/sports/football/roster/alma-taleni/14260"",""Alma Taleni"")","OL","6' 7''","297","R-So.","Coomera, Australia","Upper Coomera State College","Utah","=HYPERLINK(""https://twitter.com/TaleniAlma"",""@TaleniAlma"")","=HYPERLINK(""https://instagram.com/alm.spence"",""@alm.spence"")",""
"76",75,75,"=HYPERLINK(""https://broncosports.com/sports/football/roster/daylon-metoyer/14238"",""Daylon Metoyer"")","OL","6' 4''","321","R-Sr.","Hesperia, Calif.","Oak Hills HS","Mt. SAC","=HYPERLINK(""https://twitter.com/CollarBlou"",""@CollarBlou"")","=HYPERLINK(""https://instagram.com/iinsane.daylonmetoyer"",""@iinsane.daylonmetoyer"")",""
"77",76,76,"=HYPERLINK(""https://broncosports.com/sports/football/roster/greg-bienvenue/14193"",""Greg Bienvenue"")","OL","6' 4''","303","R-So.","Mesa, Ariz.","Desert Ridge HS","","=HYPERLINK(""https://twitter.com/GregoryBienven3"",""@GregoryBienven3"")","=HYPERLINK(""https://instagram.com/greg_bienvenue"",""@greg_bienvenue"")",""
"78",77,77,"=HYPERLINK(""https://broncosports.com/sports/football/roster/kole-cronin/14372"",""Kole Cronin"")","OL","6' 5''","263","Fr.","Reno, Nev.","Bishop Manogue HS","","=HYPERLINK(""https://twitter.com/KoleLCronin"",""@KoleLCronin"")","=HYPERLINK(""https://instagram.com/kole_cronin78"",""@kole_cronin78"")",""
"79",78,78,"=HYPERLINK(""https://broncosports.com/sports/football/roster/tyler-ethridge/14416"",""Tyler Ethridge"")","OL","6' 3''","308","Sr.","Midlothian, Texas","Midlothian HS","Colorado State Pueblo","=HYPERLINK(""https://twitter.com/TylerEthridge77"",""@TylerEthridge77"")","=HYPERLINK(""https://instagram.com/mr.ethridge"",""@mr.ethridge"")",""
"80",79,79,"=HYPERLINK(""https://broncosports.com/sports/football/roster/connor-warkentin/14271"",""Connor Warkentin"")","OL","6' 5''","293","R-So.","Bakersfield, Calif.","Centennial HS","","=HYPERLINK(""https://twitter.com/ConnorWarkentin"",""@ConnorWarkentin"")","=HYPERLINK(""https://instagram.com/connor_warkentin"",""@connor_warkentin"")",""
"81",80,80,"=HYPERLINK(""https://broncosports.com/sports/football/roster/cameron-bates/14190"",""Cameron Bates"")","WR","5' 10''","180","Jr.","Mansfield, Texas","Mansfield Timberview HS","","=HYPERLINK(""https://twitter.com/_CamBates3"",""@_CamBates3"")","=HYPERLINK(""https://instagram.com/_cambates"",""@_cambates"")",""
"82",81,81,"=HYPERLINK(""https://broncosports.com/sports/football/roster/kamryn-jones/14314"",""Kamryn Jones"")","WR","6' 2''","210","R-Fr.","Temecula, Calif.","Rancho Christian HS","","=HYPERLINK(""https://twitter.com/kthagreatt"",""@kthagreatt"")","=HYPERLINK(""https://instagram.com/pcfkam"",""@pcfkam"")",""
